session,vote_number,vote_question_text,member_full,vote_cast,vote_id,numerical_vote
1,185,On Passage of the Bill H.R. 1911,Shelby (R-AL),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Stabenow (D-MI),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Tester (D-MT),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Thune (R-SD),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Toomey (R-PA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Udall (D-CO),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Udall (D-NM),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Vitter (R-LA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Warner (D-VA),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Warren (D-MA),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Whitehouse (D-RI),Nay,1:185,1
1,185,On Passage of the Bill H.R. 1911,Wicker (R-MS),Yea,1:185,2
1,185,On Passage of the Bill H.R. 1911,Wyden (D-OR),Yea,1:185,2
1,4,On Passage of the Bill H.R. 152,Alexander (R-TN),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Ayotte (R-NH),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Baldwin (D-WI),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Barrasso (R-WY),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Baucus (D-MT),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Begich (D-AK),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Bennet (D-CO),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Blumenthal (D-CT),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Blunt (R-MO),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Boozman (R-AR),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Boxer (D-CA),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Brown (D-OH),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Burr (R-NC),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Cantwell (D-WA),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Cardin (D-MD),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Carper (D-DE),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Casey (D-PA),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Chambliss (R-GA),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Coats (R-IN),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Coburn (R-OK),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Cochran (R-MS),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Collins (R-ME),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Coons (D-DE),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Corker (R-TN),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Cornyn (R-TX),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Crapo (R-ID),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Cruz (R-TX),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Donnelly (D-IN),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Durbin (D-IL),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Enzi (R-WY),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Feinstein (D-CA),Yea,1:4,2
1,4,On Passage of the Bill H.R. 152,Fischer (R-NE),Nay,1:4,1
1,4,On Passage of the Bill H.R. 152,Flake (R-AZ),Nay,1:4,1
